coordinates;value
[ 0. 10.];100.0
[ 1.11111111 10.        ];99.94812616432691
[ 2.22222222 10.        ];100.37063171646474
[ 3.33333333 10.        ];101.65844368667639
[ 4.44444444 10.        ];103.05401500993156
[ 5.55555556 10.        ];102.11209542824606
[ 6.66666667 10.        ];94.88245868048465
[ 7.77777778 10.        ];77.0313733786267
[ 8.88888889 10.        ];45.542957544678465
[10. 10.];0.0
[0.         8.88888889];100.0
[1.11111111 8.88888889];100.25110138984897
[2.22222222 8.88888889];101.28782518154799
[3.33333333 8.88888889];102.47267343162683
[4.44444444 8.88888889];101.54157000397917
[5.55555556 8.88888889];94.78492620156334
[6.66666667 8.88888889];78.3174126874709
[7.77777778 8.88888889];50.64325574575468
[8.88888889 8.88888889];17.04800412501373
[10.          8.88888889];0.0
[0.         7.77777778];100.0
[1.11111111 7.77777778];100.72658886164746
[2.22222222 7.77777778];101.7606167597863
[3.33333333 7.77777778];101.08188026797991
[4.44444444 7.77777778];95.27919050646383
[5.55555556 7.77777778];80.82792502995929
[6.66666667 7.77777778];56.79341799910942
[7.77777778 7.77777778];28.31391086897484
[8.88888889 7.77777778];7.928729226552851
[10.          7.77777778];0.0
[0.         6.66666667];100.0
[1.11111111 6.66666667];100.93475793544032
[2.22222222 6.66666667];100.70665629153342
[3.33333333 6.66666667];96.22208849432427
[4.44444444 6.66666667];84.11236039274007
[5.55555556 6.66666667];63.222823333707765
[6.66666667 6.66666667];37.52121099941681
[7.77777778 6.66666667];15.811700381642881
[8.88888889 6.66666667];3.860295737204329
[10.          6.66666667];0.0
[0.         5.55555556];100.0
[1.11111111 5.55555556];100.36199957335633
[2.22222222 5.55555556];97.43744628496191
[3.33333333 5.55555556];87.89612862952593
[4.44444444 5.55555556];69.86320245171379
[5.55555556 5.55555556];45.915231318025
[6.66666667 5.55555556];23.192193888610987
[7.77777778 5.55555556];8.018681120513488
[8.88888889 5.55555556];1.2521889226425962
[10.          5.55555556];0.0
[0.         4.44444444];100.0
[1.11111111 4.44444444];98.7478110773584
[2.22222222 4.44444444];91.98131887948836
[3.33333333 4.44444444];76.80780611139146
[4.44444444 4.44444444];54.08476868197777
[5.55555556 4.44444444];30.136797548289003
[6.66666667 4.44444444];12.103871370476568
[7.77777778 4.44444444];2.5625537150399103
[8.88888889 4.44444444];-0.36199957335538147
[10.          4.44444444];0.0
[0.         3.33333333];100.0
[1.11111111 3.33333333];96.13970426279663
[2.22222222 3.33333333];84.18829961835894
[3.33333333 3.33333333];62.47878900058574
[4.44444444 3.33333333];36.77717666629524
[5.55555556 3.33333333];15.887639607262896
[6.66666667 3.33333333];3.777911505678221
[7.77777778 3.33333333];-0.7066562915317153
[8.88888889 3.33333333];-0.9347579354395222
[10.          3.33333333];0.0
[0.         2.22222222];100.0
[1.11111111 2.22222222];92.07127077344816
[2.22222222 2.22222222];71.68608913102725
[3.33333333 2.22222222];43.20658200089363
[4.44444444 2.22222222];19.172074970044044
[5.55555556 2.22222222];4.720809493539152
[6.66666667 2.22222222];-1.0818802679776343
[7.77777778 2.22222222];-1.7606167597849158
[8.88888889 2.22222222];-0.7265888616468302
[10.          2.22222222];0.0
[0.         1.11111111];100.0
[1.11111111 1.11111111];82.95199587498757
[2.22222222 1.11111111];49.35674425424823
[3.33333333 1.11111111];21.682587312532647
[4.44444444 1.11111111];5.215073798439984
[5.55555556 1.11111111];-1.5415700039765077
[6.66666667 1.11111111];-2.4726734316250147
[7.77777778 1.11111111];-1.287825181546983
[8.88888889 1.11111111];-0.25110138984860086
[10.          1.11111111];0.0
[0. 0.];100.0
[1.11111111 0.        ];54.457042455324185
[2.22222222 0.        ];22.968626621376902
[3.33333333 0.        ];5.1175413195188355
[4.44444444 0.        ];-2.11209542824325
[5.55555556 0.        ];-3.054015009929579
[6.66666667 0.        ];-1.6584436866752865
[7.77777778 0.        ];-0.37063171646425663
[8.88888889 0.        ];0.05187383567319083
[10.  0.];0.0
